totalHandlingTime, ServerName, requestNum, timeFinishedCalc, numToCalc, timeRequestReceived, timeStartedCalc, 
0.000224113, server4,63221,1537713799,35364,1537713799,1537713799, 
0.000257969, server4,63239,1537713799,11885,1537713799,1537713799, 
0.00031209, server3,62630,1537713799,17234,1537713799,1537713799, 
0.000322819, server0,63445,1537713800,26574,1537713800,1537713800, 
0.000404119, server0,63466,1537713800,41119,1537713800,1537713800, 
0.003450155, server0,63483,1537713800,98824,1537713800,1537713800, 
0.00015521, server1,63159,1537713801,47101,1537713801,1537713801, 
0.000285864, server3,62719,1537713801,58154,1537713801,1537713801, 
0.000539064, server1,63192,1537713801,27729,1537713801,1537713801, 
0.000437021, server1,63211,1537713801,94493,1537713801,1537713801, 
0.000357866, server1,63232,1537713802,43467,1537713802,1537713802, 
0.000277996, server1,63245,1537713802,34279,1537713802,1537713802, 
0.000375986, server2,63187,1537713802,82259,1537713802,1537713802, 
0.000953197, server1,63284,1537713803,72686,1537713803,1537713803, 
0.000555038, server4,63478,1537713803,34854,1537713803,1537713803, 
0.000287056, server3,62869,1537713804,62377,1537713804,1537713804, 
0.000387907, server2,63257,1537713804,67248,1537713804,1537713804, 
0.000298023, server2,63272,1537713804,76243,1537713804,1537713804, 
0.000171185, server0,63715,1537713805,14004,1537713805,1537713805, 
0.000261068, server3,62936,1537713805,41259,1537713805,1537713805, 
0.000414848, server2,63338,1537713805,45985,1537713805,1537713805, 
0.000225067, server1,63435,1537713806,12938,1537713806,1537713806, 
0.00037694, server3,63010,1537713806,24804,1537713806,1537713806, 
0.000347137, server4,63664,1537713807,62895,1537713807,1537713807, 
0.003701925, server3,63055,1537713807,85416,1537713807,1537713807, 
0.000336885, server3,63076,1537713807,11207,1537713807,1537713807, 
0.000308037, server2,63478,1537713808,99293,1537713808,1537713808, 
0.000272036, server0,63911,1537713808,25751,1537713808,1537713808, 
0.000185013, server0,63923,1537713808,11526,1537713808,1537713808, 
0.000184774, server0,63937,1537713808,51238,1537713808,1537713808, 
0.000424862, server0,63954,1537713809,46973,1537713809,1537713809, 
0.0002141, server1,63628,1537713809,48590,1537713809,1537713809, 
0.000905991, server1,63650,1537713810,76704,1537713810,1537713810, 
0.000345945, server2,63590,1537713810,17664,1537713810,1537713810, 
0.000275135, server2,63610,1537713810,71272,1537713810,1537713810, 
0.000463963, server1,63712,1537713811,44711,1537713811,1537713811, 
0.000262022, server4,63907,1537713811,10465,1537713811,1537713811, 
0.000639915, server3,63294,1537713811,66741,1537713811,1537713811, 
0.000303984, server1,63764,1537713812,44121,1537713812,1537713812, 
0.000231981, server4,63956,1537713812,56514,1537713812,1537713812, 
0.000307083, server0,64150,1537713812,62148,1537713812,1537713812, 
0.000844955, server2,63748,1537713813,76360,1537713813,1537713813, 
0.000302076, server0,64188,1537713813,67221,1537713813,1537713813, 
0.00035882, server1,63865,1537713813,58640,1537713813,1537713813, 
0.005872965, server0,64234,1537713814,13005,1537713814,1537713814, 
0.000272036, server2,63832,1537713814,82957,1537713814,1537713814, 
0.000342846, server3,63477,1537713815,75480,1537713815,1537713815, 
0.000415802, server2,63879,1537713815,73067,1537713815,1537713815, 
0.000586987, server0,64328,1537713815,86375,1537713815,1537713815, 
0.000375032, server0,64349,1537713816,13932,1537713816,1537713816, 
0.00037384, server0,64370,1537713817,64395,1537713817,1537713817, 
0.000249147, server2,63966,1537713817,55246,1537713817,1537713817, 
0.000205994, server1,64063,1537713817,64870,1537713817,1537713817, 
0.000213861, server0,64427,1537713818,78587,1537713818,1537713818, 
0.000371933, server3,63649,1537713818,79340,1537713818,1537713818, 
0.000316858, server4,64298,1537713818,32276,1537713818,1537713818, 
0.000253201, server2,64073,1537713819,21980,1537713819,1537713819, 
0.000351906, server1,64172,1537713819,43206,1537713819,1537713819, 
0.000381947, server4,64366,1537713820,95640,1537713820,1537713820, 
0.000354052, server2,64133,1537713820,18148,1537713820,1537713820, 
0.000334978, server2,64154,1537713820,11490,1537713820,1537713820, 
0.000399113, server3,63808,1537713821,90333,1537713821,1537713821, 
0.000309944, server0,64628,1537713821,18030,1537713821,1537713821, 
0.000207186, server1,64303,1537713821,77809,1537713821,1537713821, 
0.000386953, server0,64673,1537713822,51386,1537713822,1537713822, 
0.000269175, server4,64522,1537713822,24286,1537713822,1537713822, 
0.000529051, server4,64543,1537713823,29149,1537713823,1537713823, 
0.000241041, server4,64560,1537713823,23424,1537713823,1537713823, 
0.00028491, server2,64333,1537713823,71041,1537713823,1537713823, 
0.000369787, server1,64425,1537713824,94714,1537713824,1537713824, 
0.000626087, server0,64784,1537713824,57205,1537713824,1537713824, 
0.000420094, server4,64629,1537713825,15715,1537713825,1537713825, 
